nom_produit;prix;specificites
"69-delig haakpakket - haakpakket voor beginners, 15 kleuren haakgaren om te haken, haakaccessoires, haakpakkettas, grijs";"32,99";"15 kleuren haakgaren en 12 haaknaalden van normale grootte - De haakset voor beginners bevat 90 verschillende..."
"Set van drie naalden, 4 mm roestvrij staal, naaimachinegaren en haakaccessoires.";"14,99";"Dubbelnaaldsontwerp: Elke naald heeft twee naaldvoetjes, waardoor u eenvoudig dezelfde of verschillende..."
"Chenille-wol om te haken - 5 x 100 g - fluweelachtig chenillegaren - wollig zacht chenillegaren - chenillewol met haakaccessoires - zachte pluche wol - haakgaren voor dekens en sjaals - zwart";"46,98";"Naalddikte: 3.5-4 Hoogwaardige Chenillewol met Haakaccessoires Ontdek de perfecte oplossing voor al jouw haak- en breiprojecten..."
"Granny Square haakset voor beginners - 6 Granny Squares haakset met stapsgewijze haakhandleiding - doe-het-zelf haakset voor Granny Square met haaknaald - haakgaren - haakaccessoires";"40,98";"Coopay Haakset voor Beginners: De Perfecte Start voor Granny Squares Wil je leren haken maar weet je..."
"Haakset voor beginners en volwassenen - 58 stuks haaknaalden - inclusief TPR-greep - wol en haakaccessoires - complete haaknaaldenset met tas - roze";"58,98";"Complete Haakset voor Beginners Ontdek de wereld van haken met onze Complete Haakset voor Beginners...."
"Breitassen Opbergtas voor Wol en Garen - Roze, Draagbare Garentas voor Haakaccessoires";"40,99";"Wollen Opbergkokerzak Roze Wollen Opbergkokerzak Roze Deze wollen opbergkokerzak in het roze is een handig..."
"1 stuk - draagbare garenhouder - reis garenhouder - pols garenhouder voor haken - roze plastic garenhouder - haakaccessoires om garenverstrengeling te voorkomen";"11,50";"Aantrekkelijk en duurzaam: onze draagbare garenhouder voor de pols is gemaakt van hoogwaardig acrylmateriaal..."
"Grote haaktas, gebreide draagtas, update, grotere haaktas, reiskaren, tas met schouderriem, lichte knutselorganizer en opslag voor alle gebreide haakaccessoires, wit";"79,95";"[Verbeterde garen-organizer met grotere capaciteit] Als reactie op de koopervaring en feedback van..."
"Tang voor veiligheidsogen - haak-accessoires - veiligheidsogen voor gehaakte dieren - gereedschap voor knuffeldieren en poppen - eenvoudige installatie";"23,08";"Aantal stuks in verpakking: 1 stuk(s) Productbeschrijving: Tang voor Veiligheidsogen Ontdek de perfecte tang voor veiligheidsogen, ontworpen..."
"Haaknaalden set 14 maten blauw en wit porselein patroon met hoes voor artritis handen - 2,25 mm (B) - 10 mm (N) haaknaalden voor beginners - Moederdag cadeau - haakaccessoires (azure)";"47,-";"Set met Haaknaalden met Bloemenpatroon Ontdek de perfecte combinatie van functionaliteit en stijl met..."
"73-delige Haakset voor Beginners – Draagbare Haaknaaldenset met 15 Bollen Wol, Tas, Haakaccessoires en Ergonomische Haaknaalden (Lichtgrijs)";"74,99";"Deze 73-delige haakset is perfect voor beginners en volwassenen die willen starten met haken. De set..."
"Haaknaaldenset met haakaccessoires - 9 stuks - antislip haaknaalden met bamboe handvat en gladde haakkop - 2,0 mm - 6,0 mm - lichte houten handgreep - haaknaalden voor artritische handen - beginners en kinderen";"36,98";"Houten Handvat Haaknaaldenset - De Perfecte Keuze voor Haakliefhebbers Ontdek de veelzijdigheid en kwaliteit..."
"Allecto Plus - Set van 180 gekleurde steekmarkeerders in verschillende maten met plastic etui - Brei- en haakaccessoires - Steeknaald clips - Vergrendelingsteller - DIY - Handwerken";"30,99";"Voordeelpakket Het pakket bevat 180 stuks steekmarkeringsringen, waaronder 60 stuks van elk grote, middelgrote..."
"1 Box 71pcs Breinaalden - Stoppers - Naaldbeschermers - Blad Plant - Puntbeschermers - Silicone Stitch Stoppers voor Breien - Haakaccessoires";"42,10";"Productbeschrijving: 71-delige Brei Gereedschap Set Ontdek de veelzijdigheid en het gebruiksgemak van..."
"18Pcs Breinaalden Houders - Garen Stitch Holder - Kleurrijk Aluminium Haaknaalden Voor Naai- en Haakaccessoires";"21,58";"Onmisbare Brei-accessoires voor Elke Breier Onze brei-stitch holders zijn essentiële accessoires voor..."
"MONTKIARA Haaknaaldenset 100-delig breiaccessoires Haakset voor beginners met etui Multicolor aluminium breinaalden Naaigereedschap Haakaccessoires met draagbare tas";"32,-";"Materiaal: aluminium haak met TPR-handgreep zacht rubber, antislip11 maten zachte rubberen haken, van..."
"Handtas voor Haaknaalden en Breinaalden - Opbergtas voor Brei- en Haakaccessoires";"60,49";"Maak je haak- en breiwerk eenvoudiger met deze handige handtas. Ideaal voor het opbergen van haaknaalden..."
"Pack of 6 Multicoloured Yarn - Crochet en Breigaren voor Beginners - Goedzichtbare Mesh - Chunky en Dikke Katoen Nylon Menggarens - Garens voor Haken met Haakaccessoires (6 x 50 g)";"40,22";"Productbeschrijving: Beginnersgaren voor Haken en Breien Ontdek de perfecte start voor al uw creatieve..."
"Zeynomax - Set van 200 plastic knoopogen voor haakprojecten - 8 mm - Inclusief 2 stijlen - Geschikt voor Amigurumi poppen - Met sluitringen - Haakaccessoires";"41,95";"Inleiding: Maak je eigen knuffeldieren, poppen en haakprojecten met deze veiligheidsogen! Voordelen:..."
